transaction_id,customer_id,tran_date,prod_sub_cat_code,prod_cat_code,Qty,Rate,Discount,total_amt,Store_type
3268991,272172,2017.7.31,11,6,3,4550,,13650,OnlineShop
7073244,269640,2019.5.10,12,5,4,69250,,277000,DepartmentStore
10861359,272671,2019.10.24,4,4,2,5150,,10300,Flagship store
15741026,271544,2017.3.26,12,5,1,14950,,14950,OnlineShop
16165359,273203,2019.7.31,4,1,2,29000,,58000,OnlineShop
18629385,273648,2018.1.14,12,6,3,58700,,176100,OnlineShop
29740699,269719,2017.3.29,7,5,3,56800,,170400,Homeshopping
33156503,267524,2017.9.22,1,2,3,27250,,81750,OnlineShop
38816402,274437,2017.4.10,12,5,3,27150,,81450,Homeshopping
41453307,269572,2018.8.3,6,5,4,27600,,110400,OnlineShop
43751965,272070,2019.8.29,10,6,2,51000,,102000,Flagship store
46735492,274455,2018.12.26,10,5,3,66600,,199800,Homeshopping
49441287,268804,2019.11.22,11,6,3,13950,,41850,Flagship store
50715455,274729,2018.9.26,4,2,2,16200,,32400,OnlineShop
57046404,271834,2017.2.20,10,6,4,44150,,176600,OnlineShop
71435868,273040,2017.12.24,4,4,3,31450,,94350,Flagship store
71732615,270504,2019.5.31,4,3,1,48300,,48300,DepartmentStore
81900697,274183,2018.4.20,10,3,1,46800,,46800,Flagship store
86102715,273631,2019.1.14,3,5,5,21050,,105250,OnlineShop
87125650,268666,2017.8.3,1,4,5,17950,,89750,OnlineShop
87125650,268666,2017.8.7,1,4,-5,-17950,,-89750,OnlineShop
89701436,274960,2017.3.31,7,5,4,55550,,222200,OnlineShop
92736388,267753,2019.6.21,4,4,4,21450,,85800,OnlineShop
95570369,269136,2017.9.14,12,6,1,18800,,18800,OnlineShop
95570369,269136,2017.9.24,12,6,-1,-18800,,-18800,OnlineShop
103700356,269254,2019.7.1,4,3,5,60700,,303500,Flagship store
109925209,275125,2018.2.27,6,5,3,6600,,19800,DepartmentStore
115261786,271509,2017.5.31,7,5,4,58600,,234400,OnlineShop
117003344,269965,2017.12.10,5,3,2,27550,,55100,Homeshopping
126890765,271735,2017.4.27,12,6,2,18950,,37900,DepartmentStore
141709406,266910,2019.8.6,2,6,3,18050,,54150,Flagship store
141765672,272741,2017.4.8,10,3,1,35250,,35250,OnlineShop
144313831,269672,2017.6.11,2,6,1,19850,,19850,OnlineShop
144983693,271614,2019.11.22,6,5,3,37150,,111450,Homeshopping
151209307,272016,2017.10.5,3,2,2,72150,,144300,OnlineShop
155580963,270998,2019.5.11,6,5,4,28850,,115400,OnlineShop
156697409,268633,2018.4.16,12,5,5,56950,,284750,OnlineShop
156697409,268633,2018.4.24,12,5,-5,-56950,,-284750,OnlineShop
157736425,274625,2018.2.9,3,5,3,10650,,31950,DepartmentStore
163194840,268845,2020.2.9,3,5,4,54650,,218600,Flagship store
165168462,274900,2018.4.17,10,6,3,20850,,62550,OnlineShop
165769899,267450,2018.2.6,4,3,5,37650,,188250,DepartmentStore
171116851,267991,2017.10.11,3,1,1,68350,,68350,OnlineShop
188992101,272143,2019.7.14,4,4,2,69600,,139200,OnlineShop
189495917,267760,2017.4.15,12,6,3,51100,,153300,Flagship store
194354511,273731,2020.1.19,7,5,4,27550,,110200,Flagship store
203539646,268501,2019.5.11,1,4,1,16050,,16050,OnlineShop
207144440,273850,2017.10.13,10,3,3,48050,,144150,Flagship store
209435584,270676,2019.12.28,5,3,4,61450,,245800,OnlineShop
216234375,271613,2018.7.15,4,4,1,13400,,13400,DepartmentStore
224649899,267182,2017.10.10,12,5,1,16850,,16850,Flagship store
225590919,269424,2019.11.25,11,5,3,26050,,78150,OnlineShop
228053768,272904,2018.10.20,11,5,3,57500,,172500,Homeshopping
228335510,267860,2017.1.27,3,1,5,38200,,191000,Flagship store
234608322,268231,2018.5.22,11,6,5,74350,,371750,OnlineShop
239004395,269368,2019.5.11,7,5,5,48450,,242250,OnlineShop
246768105,274608,2017.10.25,10,3,5,72300,,361500,Homeshopping
246815756,269629,2018.7.24,8,3,2,28100,,56200,Flagship store
247315596,270372,2018.12.9,1,2,2,18200,,36400,OnlineShop
256086669,275119,2018.11.5,4,4,3,7650,,22950,OnlineShop
256199708,269736,2019.6.25,1,2,3,65500,,196500,OnlineShop
265535637,268931,2019.1.7,1,4,1,11800,,11800,Flagship store
265535637,268931,2019.1.14,1,4,-1,-11800,,-11800,Flagship store
267147202,271769,2018.2.19,1,2,5,38150,,190750,DepartmentStore
268218855,272634,2017.7.14,4,4,5,56450,,282250,Homeshopping
268218855,272634,2017.7.22,4,4,-5,-56450,,-282250,Homeshopping
271077902,273453,2019.10.25,4,4,2,69000,,138000,OnlineShop
271564630,274587,2018.7.14,12,6,1,38350,,38350,OnlineShop
277893283,267814,2018.1.19,1,4,4,70350,,281400,OnlineShop
277893283,267814,2018.1.29,1,4,-4,-70350,,-281400,OnlineShop
283737262,266831,2020.1.1,7,5,4,14300,,57200,Homeshopping
283833696,268521,2017.4.20,10,6,5,32300,,161500,Homeshopping
286422298,268392,2019.12.4,1,4,3,4450,,13350,DepartmentStore
296073900,269883,2018.2.23,10,3,5,8450,,42250,OnlineShop
296073900,269883,2018.2.28,10,3,-5,-8450,,-42250,OnlineShop
297276245,269267,2018.5.30,11,5,1,3600,,3600,Homeshopping
297276245,269267,2018.6.1,11,5,-1,-3600,,-3600,Homeshopping
303170923,266992,2018.5.13,4,4,3,55300,,165900,OnlineShop
316988693,266814,2018.3.2,8,3,2,5850,,11700,Homeshopping
317342885,269888,2019.6.30,10,5,2,27500,,55000,OnlineShop
319395876,268852,2018.3.11,1,1,2,27900,,55800,Homeshopping
325812866,269535,2017.1.25,11,6,2,48300,,96600,OnlineShop
328153385,270347,2017.6.11,3,5,3,34950,,104850,DepartmentStore
339232443,270544,2019.2.28,6,5,1,66400,,66400,DepartmentStore
340294477,271882,2018.9.14,12,5,3,51350,,154050,Homeshopping
352570382,272672,2019.8.9,12,5,1,53500,,53500,DepartmentStore
353261573,267646,2018.3.7,10,5,1,13050,,13050,DepartmentStore
354555590,272488,2019.1.3,4,4,4,61800,,247200,OnlineShop
358789714,270823,2018.11.6,12,6,4,4500,,18000,OnlineShop
364208039,271694,2020.2.7,3,5,3,46750,,140250,OnlineShop
384322819,271568,2019.3.31,11,5,4,52300,,209200,Homeshopping
384855489,270051,2018.1.19,4,3,3,11950,,35850,DepartmentStore
398388975,270246,2019.6.14,3,2,3,70050,,210150,Flagship store
401206255,268767,2017.7.10,4,2,5,9100,,45500,Flagship store
405375008,269708,2019.11.20,4,1,4,30750,,123000,Homeshopping
409774190,267801,2019.12.17,10,5,1,11750,,11750,OnlineShop
411859828,271098,2018.1.26,1,4,3,27250,,81750,OnlineShop
415013712,273714,2018.4.8,6,5,3,66300,,198900,Homeshopping
426787191,273106,2018.5.17,1,2,5,5450,,27250,OnlineShop
426787191,273106,2018.5.18,1,2,-5,-5450,,-27250,OnlineShop
443968265,271777,2019.3.30,5,3,3,64150,,192450,Flagship store
447697762,270798,2018.8.16,1,1,4,68350,,273400,DepartmentStore
452676785,272871,2019.4.10,12,5,1,12550,,12550,Flagship store
462387165,271613,2018.7.23,9,3,3,42550,,127650,Flagship store
465032738,267286,2019.4.11,4,3,4,38100,,152400,DepartmentStore
466980151,269967,2018.7.10,2,6,1,37650,,37650,OnlineShop
472353347,273463,2019.3.19,1,1,3,73750,,221250,OnlineShop
474391737,268453,2017.9.6,7,5,2,42800,,85600,Flagship store
476170954,267265,2018.8.12,3,1,1,9750,,9750,DepartmentStore
476566626,267819,2018.11.10,3,1,5,9900,,49500,OnlineShop
483775260,271183,2019.2.2,10,3,5,12650,,63250,Flagship store
500615534,275116,2018.8.8,12,5,4,42400,,169600,DepartmentStore
503736661,270050,2019.10.13,9,3,1,9800,,9800,DepartmentStore
503985994,269948,2019.11.23,2,6,3,4050,,12150,OnlineShop
508811130,270233,2018.4.10,4,1,5,70550,,352750,Flagship store
509248995,273606,2017.3.24,7,5,2,12500,,25000,OnlineShop
521137428,274567,2017.4.18,8,3,1,48300,,48300,OnlineShop
524488107,273043,2017.11.21,10,5,1,67100,,67100,DepartmentStore
525041466,274490,2019.10.9,6,5,3,74100,,222300,Homeshopping
525041466,274490,2019.10.10,6,5,-3,-74100,,-222300,Homeshopping
525918122,272348,2017.9.13,5,3,3,21750,,65250,OnlineShop
526141595,270159,2019.12.5,4,4,1,57100,,57100,Flagship store
536918883,269570,2017.2.2,9,3,5,74400,,372000,OnlineShop
538308297,270802,2018.8.21,8,3,1,22700,,22700,OnlineShop
538990204,272242,2019.8.27,8,3,1,30650,,30650,DepartmentStore
544094954,271731,2017.6.26,4,3,2,54550,,109100,DepartmentStore
550339803,271107,2019.6.22,6,5,5,38900,,194500,DepartmentStore
553042749,268268,2019.1.3,4,4,3,16850,,50550,OnlineShop
556211063,268438,2019.4.10,11,6,1,16850,,16850,OnlineShop
563889893,268350,2019.9.22,3,2,1,10300,,10300,DepartmentStore
568284996,270262,2018.11.25,1,2,2,52800,,105600,DepartmentStore
571636731,271969,2019.8.24,10,5,5,66900,,334500,OnlineShop
574192949,273455,2019.6.24,6,5,4,36100,,144400,Homeshopping
577505127,272727,2017.5.15,2,6,3,52800,,158400,Flagship store
585837570,267364,2017.9.9,10,5,5,70550,,352750,Homeshopping
590040341,273474,2018.3.4,4,4,2,18350,,36700,Homeshopping
591581909,268080,2018.7.16,1,2,5,16500,,82500,Flagship store
593769481,270694,2018.12.20,12,5,3,14350,,43050,DepartmentStore
604922736,270669,2018.8.29,10,6,5,49300,,246500,OnlineShop
611253886,273878,2018.6.5,5,3,5,50250,,251250,Homeshopping
611744712,271825,2018.11.30,10,3,2,74900,,149800,OnlineShop
612207817,266803,2018.6.1,6,5,3,60100,,180300,OnlineShop
617160548,273553,2019.12.20,9,3,3,57200,,171600,Flagship store
618433640,267414,2017.12.17,3,2,5,62850,,314250,DepartmentStore
618433640,267414,2017.12.20,3,2,-5,-62850,,-314250,DepartmentStore
619377130,270419,2017.6.28,1,2,1,32650,,32650,OnlineShop
621112155,268829,2017.11.10,3,2,3,68100,,204300,Homeshopping
623079959,269329,2017.2.24,1,2,2,26350,,52700,OnlineShop
625516845,273384,2019.3.9,1,1,5,54550,,272750,DepartmentStore
628715978,267588,2019.3.19,3,1,2,5100,,10200,Homeshopping
629286523,272456,2020.1.16,6,5,4,35700,,142800,Homeshopping
633971438,269439,2019.8.8,8,3,1,24950,,24950,OnlineShop
636104104,267720,2018.7.25,6,5,1,36650,,36650,OnlineShop
639298867,274017,2019.6.3,8,3,1,53500,,53500,DepartmentStore
641536043,275244,2018.8.31,4,1,3,17550,,52650,Flagship store
643942673,269125,2017.12.25,4,4,5,73550,,367750,DepartmentStore
644338327,268056,2017.9.18,7,5,3,17450,,52350,OnlineShop
649430627,268679,2018.2.7,1,4,3,5700,,17100,OnlineShop
650789826,271108,2018.1.1,3,2,1,54400,,54400,DepartmentStore
652555256,269213,2018.7.16,10,6,4,61900,,247600,OnlineShop
662132848,268792,2017.11.23,4,3,3,52750,,158250,OnlineShop
672390318,274073,2019.5.11,3,2,2,62100,,124200,OnlineShop
683807308,273904,2019.1.25,2,6,5,57750,,288750,OnlineShop
688991556,270603,2018.7.22,7,5,3,72850,,218550,Homeshopping
701507324,270908,2018.3.10,12,5,1,55200,,55200,DepartmentStore
722400882,273356,2018.12.20,6,5,2,70850,,141700,Homeshopping
723941644,270733,2017.10.11,7,5,3,10000,,30000,OnlineShop
730161507,272080,2019.3.27,12,5,3,12150,,36450,DepartmentStore
731471512,267110,2018.6.15,4,1,5,35700,,178500,DepartmentStore
735818761,269074,2018.11.16,1,4,3,67600,,202800,DepartmentStore
736344248,268706,2019.3.26,4,1,4,65850,,263400,Flagship store
736344248,268706,2019.4.5,4,1,-4,-65850,,-263400,Flagship store
739835731,274575,2018.12.31,7,5,5,16850,,84250,OnlineShop
743141333,270005,2018.8.10,3,2,3,66250,,198750,OnlineShop
749674186,270240,2018.8.19,3,5,1,8250,,8250,OnlineShop
752342827,274260,2019.6.30,1,1,3,62450,,187350,Homeshopping
756246414,273896,2017.3.24,10,5,2,74400,,148800,DepartmentStore
756246414,273896,2017.4.2,10,5,-2,-74400,,-148800,DepartmentStore
756297021,273623,2018.4.12,1,2,1,38400,,38400,Homeshopping
763024344,271810,2019.11.24,11,5,4,62900,,251600,Flagship store
771282304,274706,2017.11.15,3,2,2,29200,,58400,Flagship store
788442271,271847,2017.10.9,1,1,2,18400,,36800,OnlineShop
788442271,271847,2017.10.10,1,1,-2,-18400,,-36800,OnlineShop
788829382,270571,2019.5.3,1,2,5,46050,,230250,Flagship store
788829382,270571,2019.5.10,1,2,-5,-46050,,-230250,Flagship store
789912743,274000,2019.12.31,10,5,2,14750,,29500,OnlineShop
801302692,272201,2017.5.21,11,6,2,56450,,112900,OnlineShop
807757679,270505,2017.7.8,10,5,2,5250,,10500,DepartmentStore
810811030,274523,2019.6.10,3,2,5,36550,,182750,DepartmentStore
812561697,274211,2018.4.13,3,5,3,51900,,155700,Flagship store
814093473,275129,2019.8.5,3,2,1,68150,,68150,OnlineShop
815033477,270852,2019.7.16,4,2,5,10050,,50250,OnlineShop
815922100,270324,2018.7.2,9,3,2,11750,,23500,DepartmentStore
832342445,271269,2017.4.29,3,5,5,35350,,176750,Homeshopping
847032416,266830,2018.12.10,12,6,5,72200,,361000,Homeshopping
855476755,275172,2018.10.17,12,6,5,41650,,208250,OnlineShop
861046835,269574,2017.4.30,4,3,4,17150,,68600,OnlineShop
863586530,270374,2019.4.28,4,3,2,5500,,11000,DepartmentStore
863660015,270029,2018.2.1,1,4,5,22300,,111500,Flagship store
865952996,270384,2019.8.5,12,6,2,4300,,8600,DepartmentStore
867386116,272598,2017.8.19,3,5,2,70600,,141200,OnlineShop
872810937,269625,2019.8.22,10,3,1,57850,,57850,OnlineShop
875378514,270792,2018.7.24,5,3,3,7150,,21450,Flagship store
885169075,269104,2019.1.22,4,2,3,7350,,22050,Flagship store
891851928,271834,2017.10.21,3,5,4,57950,,231800,OnlineShop
896760225,270981,2019.4.20,12,6,2,20850,,41700,Homeshopping
897087318,267793,2019.7.3,4,2,4,45950,,183800,Flagship store
898523922,272863,2017.8.12,7,5,1,4100,,4100,OnlineShop
899950155,271078,2019.3.21,9,3,5,57350,,286750,Flagship store
900692276,267827,2018.6.2,4,2,2,68250,,136500,Flagship store
908931839,272870,2018.12.29,3,2,2,62400,,124800,Flagship store
912948099,271544,2017.11.23,11,6,1,64800,,64800,Flagship store
921491594,267164,2017.4.25,11,5,1,19800,,19800,Flagship store
925250958,269881,2018.10.25,3,1,1,22000,,22000,OnlineShop
926053828,271302,2018.4.30,12,5,2,12750,,25500,OnlineShop
926941138,272200,2020.1.7,10,6,1,30650,,30650,OnlineShop
930973786,267264,2019.9.8,2,6,3,62250,,186750,Homeshopping
933067130,270588,2019.9.15,9,3,3,26600,,79800,Homeshopping
934556393,274755,2019.2.22,2,6,2,69250,,138500,Homeshopping
935977226,270055,2018.2.18,1,4,3,61650,,184950,OnlineShop
938046356,275098,2017.8.13,10,3,3,42050,,126150,OnlineShop
938046356,275098,2017.8.14,10,3,-3,-42050,,-126150,OnlineShop
938581071,267476,2019.7.11,1,4,4,49700,,198800,OnlineShop
941117264,270922,2017.12.5,7,5,4,15150,,60600,DepartmentStore
941270506,267950,2019.5.8,12,6,2,16500,,33000,OnlineShop
941475590,273563,2017.10.19,1,1,5,5800,,29000,Flagship store
943176003,274524,2017.5.28,3,5,5,14900,,74500,DepartmentStore
944082001,273890,2019.3.5,9,3,4,34450,,137800,OnlineShop
946546319,273745,2018.4.24,11,6,2,32350,,64700,Homeshopping
956613233,270512,2018.11.10,11,6,3,53150,,159450,OnlineShop
960989022,271907,2018.9.26,11,5,2,63750,,127500,DepartmentStore
961369127,271104,2018.8.28,3,1,5,31850,,159250,DepartmentStore
964154706,274927,2020.1.4,3,1,2,20400,,40800,Homeshopping
970066367,269965,2019.8.14,4,4,4,32450,,129800,DepartmentStore
972923412,274295,2017.5.24,1,4,5,4750,,23750,DepartmentStore
980796259,270294,2017.2.23,11,6,4,64450,,257800,Flagship store
