prod_cat,prod_sub_cat,age_grp,gender,cnt_cust,sum_amt
Bags,Mens,40,F,185,24118340
Bags,Mens,30,M,181,21845320
Bags,Mens,40,M,196,19667700
Bags,Mens,30,F,169,17461320
Bags,Mens,50,F,27,3063300
Bags,Mens,50,M,32,2907170
Bags,Mens,20under,F,25,2691010
Bags,Mens,20under,M,29,2563370
Bags,Women,30,F,175,20718260
Bags,Women,40,M,186,20225200
Bags,Women,40,F,178,19324240
Bags,Women,30,M,176,18803080
Bags,Women,50,F,27,2760970
Bags,Women,20under,M,26,2575800
Bags,Women,20under,F,30,2553810
Bags,Women,50,M,16,2211290
Books,Academic,30,F,185,21192140
Books,Academic,40,F,176,20434880
Books,Academic,30,M,168,18805890
Books,Academic,40,M,159,18080400
Books,Academic,50,F,32,3673370
Books,Academic,20under,M,27,3275510
Books,Academic,50,M,29,3173820
Books,Academic,20under,F,23,2738000
Books,Children,40,M,202,24715770
Books,Children,30,M,206,20455640
Books,Children,40,F,174,20061100
Books,Children,30,F,159,18689660
Books,Children,20under,F,39,4264650
Books,Children,50,F,33,3671810
Books,Children,50,M,26,3258390
Books,Children,20under,M,21,2703730
Books,Children,50,,1,142560
Books,Comics,40,M,217,23295140
Books,Comics,30,M,193,21872890
Books,Comics,40,F,176,19415590
Books,Comics,30,F,167,17564030
Books,Comics,50,M,29,3350710
Books,Comics,50,F,26,3105630
Books,Comics,20under,M,28,2772350
Books,Comics,20under,F,27,2192870
Books,DIY,40,M,192,22320070
Books,DIY,40,F,191,20927110
Books,DIY,30,M,185,18753290
Books,DIY,30,F,163,18732730
Books,DIY,50,M,24,3439700
Books,DIY,20under,M,28,3202830
Books,DIY,50,F,31,3201400
Books,DIY,20under,F,23,2003500
Books,DIY,50,,1,12200
Books,Fiction,30,M,206,24625100
Books,Fiction,40,M,195,23572820
Books,Fiction,40,F,173,19612890
Books,Fiction,30,F,183,18856590
Books,Fiction,20under,F,31,3396900
Books,Fiction,20under,M,26,3092320
Books,Fiction,50,M,29,2940650
Books,Fiction,50,F,23,2393530
Books,Fiction,50,,1,199320
Books,Non-Fiction,40,M,185,21922670
Books,Non-Fiction,40,F,181,21165080
Books,Non-Fiction,30,M,190,20401440
Books,Non-Fiction,30,F,172,18241710
Books,Non-Fiction,20under,F,31,4423720
Books,Non-Fiction,50,F,25,3808930
Books,Non-Fiction,20under,M,26,2898130
