상품번호(스마트스토어),판매자상품코드,채널,결제여부,상품명,스마트스토어전용 상품명,쇼핑윈도전용 상품명,판매상태,전시상태,재고수량,판매가,할인가(PC),판매자즉시할인(PC),관리자즉시할인(PC),할인가(모바일),판매자즉시할인(모바일),관리자즉시할인값(모바일),옵션,추가상품,상품속성,최소구매수량,최대구매수량,복수구매할인,포인트(상품구매),포인트(상품구매/관리자),포인트(텍스트리뷰 작성),포인트(포토/동영상리뷰 작성),포인트(한달사용 텍스트리뷰 작성),포인트(한달사용 포토/동영상리뷰 작성),포인트(톡톡친구/스토어찜고객 리뷰 작성),무이자할부,사은품,묶음배송,배송비유형,배송비결제방식,기본배송비,반품배송비,교환배송비,무료반품보험,네이버쇼핑 등록(스마트스토어),네이버쇼핑 등록(쇼핑윈도),대분류,중분류,소분류,세분류,제조사명,브랜드명,브랜드ID,모델명,브랜드인증,자체제작,맞춤제작,인증정보,판매자바코드,판매자 내부코드1,판매자 내부코드2,대표이미지 URL,판매시작일,판매종료일,모바일 미리보기 생성일,상품등록일,최종수정일
5701867635,21-23,스마트스토어,Y,[핸드메이드] 라탄 손잡이 오픈박스 아기옷 기저귀 정리함 수건 장난감 다용도 수납 바구니,N,-,판매중,전시중,200,50000,40000,20%,,40000,20%,,Y,N,Y,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,생활/건강,수납/정리용품,바구니,,협력업체,땅꿀,,라탄 오픈박스,,N,N,N,,,,http://shop1.phinf.naver.net/20210708_143/1625677245898csrrb_JPEG/26813025617561790_770085329.jpg,,,,2021-07-08 01:49:24,2021-07-08 02:00:48
5698702196,21-22,스마트스토어,Y,[핸드메이드] 라탄 손잡이 화이트 수납함 리빙 양말 속옷 다용도 박스,N,-,판매중,전시중,300,30000,24000,20%,,24000,20%,,Y,N,Y,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,생활/건강,수납/정리용품,바구니,,협력업체,땅꿀,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210706_39/1625574844082lKenb_JPEG/26710742794528375_1495109323.jpg,,,,2021-07-06 21:37:50,2021-07-06 21:44:24
5697956557,21-21,스마트스토어,Y,직사각 라탄 바구니 수납 유니크 핸드메이드 정리함 코지,N,-,판매중,전시중,20,45000,36000,20%,,36000,20%,,N,N,N,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,생활/건강,수납/정리용품,바구니,,협력업체 제조,땅꿀,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210706_237/1625556102503Tbbiu_JPEG/26691882227153479_478786892.jpg,,,,2021-07-06 16:21:57,2021-07-06 16:40:39
5697848777,21-20,스마트스토어,Y,[핸드메이드] 라탄 화이트 바스켓 깊은 바구니 정리함 수납 다용도 빨래바구니 멀티 오픈,N,-,판매중,전시중,100,30000,24000,20%,,24000,20%,,Y,N,Y,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,생활/건강,수납/정리용품,바구니,,,,,[핸드메이드] 라탄 화이트 바스켓 깊은 바구니 정리함 수납 리빙박스 빨래바구니 멀티 오픈,,N,N,N,,,,http://shop1.phinf.naver.net/20210706_49/16255523597829zRzD_JPEG/26688193599093971_271270328.jpg,,,,2021-07-06 15:50:14,2021-07-08 01:11:59
5679538225,21-18,스마트스토어,Y,1+1 라탄 모자 썬캡 바캉스 데일리 자외선차단 햇빛 여름 휴가,N,-,판매중,전시중,1200,25000,10750,57%,,10750,57%,,Y,N,Y,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,패션잡화,모자,선캡,,협력업체,땅꿀,,,,N,N,N,21-17,,,http://shop1.phinf.naver.net/20210629_150/1624971399722K24Ei_PNG/26107233424340380_462128170.png,,,,2021-06-28 20:13:51,2021-07-15 11:51:02
5659120836,21-17,스마트스토어,Y,라탄 모자 썬캡 바캉스 데일리 자외선차단 햇빛 여름 휴가,N,-,판매중,전시중,1200,12500,6250,50%,,6250,50%,,Y,N,Y,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,패션잡화,모자,선캡,,협력업체,땅꿀,,,,N,N,N,21-17,,,http://shop1.phinf.naver.net/20210629_151/1624971341423PCSxo_PNG/26107175219324497_1601285875.png,,,,2021-06-18 19:09:51,2021-07-07 13:15:09
5651409262,21-16,스마트스토어,Y,접이식 3단 우드 원목 대나무 선반 캠핑 쉘프 수납장 정리대,N,-,판매중,전시중,198,29800,23840,20%,,23840,20%,,N,N,Y,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,스포츠/레저,캠핑,캠핑가구,캠핑테이블,협력업체,땅꿀,,원목 3단 선반,,N,N,N,,,,http://shop1.phinf.naver.net/20210615_276/1623730862741PdaeB_JPEG/24866690565106183_1668255359.jpg,,,,2021-06-15 13:30:06,2021-07-07 13:15:26
5651308009,21-19,스마트스토어,Y,라탄 우드 트레이 바구니 수납함 데코 테이블 거울 홈카페 기획전 5종,Y,-,판매중,전시중,6993,26000,17000,9000원,,17000,9000원,,Y,Y,N,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,무료,,0,3000,6000,N,Y,-,생활/건강,수납/정리용품,바구니,,협력업체,땅꿀,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210615_102/1623719218540cyoAH_PNG/24855046310379860_581316317.png,,,,2021-06-15 12:39:35,2021-07-07 13:15:44
5649771391,21-15,스마트스토어,Y,우드볼 친환경 티크 감성 원목 요거트볼 원형 간식 홈카페 샐러드 다이어트 간편 그릇 식기,N,-,판매중,전시중,390,8000,6400,20%,,6400,20%,,N,N,Y,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,생활/건강,주방용품,식기,볼,협력업체,땅꿀,,[핸드메이드]티크나무 우드 요거트 볼 원형 간식 아이들 홈카페 감성 샐러드 다이어트 간편,,N,N,N,,,,http://shop1.phinf.naver.net/20210615_170/1623724203866kB9fz_JPEG/24860046572974528_551993663.jpg,,,,2021-06-14 19:30:18,2021-07-15 11:51:02
5649692098,21-14,스마트스토어,Y,여름 라탄 우드링 그물 네트백 휴가철 니트백 여행 뜨개가방 3color,N,-,판매중,전시중,897,23730,18980,20%,,18980,20%,,Y,N,Y,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,패션잡화,여성가방,토트백,,협력업체,땅꿀,,땅꿀 우드링 네트백,,N,N,N,,,,http://shop1.phinf.naver.net/20210615_141/1623719900118rzV46_JPEG/24855742741211290_808773555.jpg,,,,2021-06-14 18:54:25,2021-07-15 11:51:02
