prod_no,seller_prod_no,sell_channel,pay_yn,prod_nm,smart_pron_yn,shop_windw_nm,sell_gb,display_gb,prod_qty,prod_price,pc_dc_price,pc_seller_dc_rate,pc_admin_dc_rate,mo_dc_price,mo_seller_dc_rate,mo_admin_dc_rate,opt_yn,add_yn,prod_attr_yn,min_buy_qty,max_buy_qty,sevr_buy_dc,point_prod_buy,point_admin_buy,point_txt_review,point_pic_review,point_txt_mon_review,point_pic_mon_review,point_zzim_review,card_m_yn,gift,grp_deliv,deliv_cost_gb,deliv_cost_pay_way,deliv_basic_cost,deliv_return_cost,deliv_exchag_cost,free_return_ins_yn,nav_smartshop_yn,nav_windw_yn,large_category,medium_category,small_category,detail_category,maker_nm,brand_nm,brand_id,model_nm,brand_conf_yn,self_made_yn,custom_made_yn,confirm_yn,seller_prod_no2,seller_in_no1,seller_in_no2,main_url,sell_stt_dt,sell_end_dt,mo_preview_dt,insert_dt,modify_dt
5747623867,21-28,스마트스토어,Y,[핸드메이드] 라탄 트레이 바구니 손잡이 수납함 거울 원목 요거트볼,N,-,판매중,전시중지,30,50,50,,,50,,,N,Y,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,무료,,0,3000,6000,N,Y,-,생활/건강,수납/정리용품,바구니,,협력업체,땅꿀,,원형라탄쟁반,,N,N,N,,,,http://shop1.phinf.naver.net/20210727_64/1627363739222P6xpR_JPEG/28499634532306675_208302600.jpg,,,,2021.7.27 16:47,2021.7.27 16:49
5746663446,21-27,스마트스토어,Y,[핸드메이드] 송월타올 30수 라탄 손잡이 오픈박스 정리함 바구니 집들이 선물,N,-,판매중,전시중,200,49000,39200,20%,,39200,20%,,Y,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,무료,,0,3000,6000,N,Y,-,생활/건강,수납/정리용품,바구니,,협력업체,땅꿀,,라탄 오픈박스,,N,N,N,,,,http://shop1.phinf.naver.net/20210727_86/1627347868582XMIco_JPEG/28483652295023534_856555041.jpg,,,,2021.7.27 10:05,2021.7.27 17:50
5746251282,21-26,스마트스토어,Y,[핸드메이드] 라탄 인센스 홀더 향받침대 향꽂이 나그참파 인센스스틱 구성 향멍 집들이선물,N,-,판매중,전시중,20,21000,16800,20%,,16800,20%,,N,N,N,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,가구/인테리어,인테리어소품,아로마/캔들용품,촛대/홀더,,,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210727_223/16273169360175mKXj_JPEG/28452719535177176_668115946.jpg,,,,2021.7.27 1:34,2021.7.27 1:34
5731598137,21-25,스마트스토어,Y,와플팬 전기 와플 메이커 토스트 크로플 붕어빵 누룽지 간식 미니사이즈 후라이팬 분리세척,N,-,판매중,전시중,1,50000,19800,30200,,19800,30200,,N,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,디지털/가전,주방가전,와플제조기,,,,,,,N,N,Y,21-25,21-25,,http://shop1.phinf.naver.net/20210726_105/1627275184540vUWwe_JPEG/28410964265668324_422516847.jpg,,,,2021.7.20 15:18,2021.7.28 17:11
5725874335,21-.24,스마트스토어,Y,[1+1] 곰돌이 얼음틀 아이스트레이 몰드 실리콘 아이들 세트  큐브라떼 홈카페 캐릭터,N,-,판매중,전시중,1000,10000,8000,20%,,8000,20%,,N,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,생활/건강,주방용품,보관/밀폐용기,아이스트레이,,,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210717_215/1626524070658gBsIr_JPEG/27659966331600917_212674993.jpg,,,,2021.7.17 21:26,2021.7.20 15:20
5701867635,21-23,스마트스토어,Y,[핸드메이드] 라탄 손잡이 오픈박스 아기옷 기저귀 정리함 수건 장난감 다용도 수납 바구니,N,-,판매중,전시중,200,50000,40000,20%,,40000,20%,,Y,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,생활/건강,수납/정리용품,바구니,,협력업체,땅꿀,,라탄 오픈박스,,N,N,N,,,,http://shop1.phinf.naver.net/20210708_143/1625677245898csrrb_JPEG/26813025617561790_770085329.jpg,,,,2021.7.8 1:49,2021.7.20 15:20
5698702196,21-22,스마트스토어,Y,[핸드메이드] 라탄 손잡이 화이트 수납함 리빙 양말 속옷 다용도 박스,N,-,판매중,전시중,300,30000,24000,20%,,24000,20%,,Y,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,생활/건강,수납/정리용품,바구니,,협력업체,땅꿀,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210706_39/1625574844082lKenb_JPEG/26710742794528375_1495109323.jpg,,,,2021.7.6 21:37,2021.7.20 15:20
5697956557,21-21,스마트스토어,Y,직사각 라탄 바구니 수납 유니크 핸드메이드 정리함 코지,N,-,판매중,전시중,200,45000,36000,20%,,36000,20%,,N,N,N,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,생활/건강,수납/정리용품,바구니,,협력업체 제조,땅꿀,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210706_237/1625556102503Tbbiu_JPEG/26691882227153479_478786892.jpg,,,,2021.7.6 16:21,2021.7.20 15:20
5697848777,21-20,스마트스토어,Y,[핸드메이드] 라탄 화이트 바스켓 깊은 바구니 정리함 수납 다용도 빨래바구니 멀티 오픈,N,-,판매중,전시중,100,30000,24000,20%,,24000,20%,,Y,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,생활/건강,수납/정리용품,바구니,,,,,[핸드메이드] 라탄 화이트 바스켓 깊은 바구니 정리함 수납 리빙박스 빨래바구니 멀티 오픈,,N,N,N,,,,http://shop1.phinf.naver.net/20210706_49/16255523597829zRzD_JPEG/26688193599093971_271270328.jpg,,,,2021.7.6 15:50,2021.7.20 15:20
5679538225,21-18,스마트스토어,Y,1+1 라탄 모자 썬캡 바캉스 데일리 자외선차단 햇빛 여름 휴가,N,-,판매중,전시중,1200,25000,10750,57%,,10750,57%,,Y,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,패션잡화,모자,선캡,,협력업체,땅꿀,,,,N,N,N,21-17,,,http://shop1.phinf.naver.net/20210629_150/1624971399722K24Ei_PNG/26107233424340380_462128170.png,,,,2021.6.28 20:13,2021.7.20 15:20
5659120836,21-17,스마트스토어,Y,라탄 모자 썬캡 바캉스 데일리 자외선차단 햇빛 여름 휴가,N,-,판매중,전시중,1200,12500,6250,50%,,6250,50%,,Y,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,패션잡화,모자,선캡,,협력업체,땅꿀,,,,N,N,N,21-17,,,http://shop1.phinf.naver.net/20210629_151/1624971341423PCSxo_PNG/26107175219324497_1601285875.png,,,,2021.6.18 19:09,2021.7.20 15:20
5651409262,21-16,스마트스토어,Y,접이식 3단 우드 원목 대나무 선반 캠핑 쉘프 수납장 정리대,N,-,판매중,전시중,198,29800,23840,20%,,23840,20%,,N,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,스포츠/레저,캠핑,캠핑가구,캠핑테이블,협력업체,땅꿀,,원목 3단 선반,,N,N,N,,,,http://shop1.phinf.naver.net/20210615_276/1623730862741PdaeB_JPEG/24866690565106183_1668255359.jpg,,,,2021.6.15 13:30,2021.7.20 15:20
5651308009,21-19,스마트스토어,Y,라탄 우드 트레이 바구니 수납함 데코 테이블 거울 홈카페 기획전 5종,Y,-,판매중,전시중,6993,26000,17000,9000,,17000,9000,,Y,Y,N,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,무료,,0,3000,6000,N,Y,-,생활/건강,수납/정리용품,바구니,,협력업체,땅꿀,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210615_102/1623719218540cyoAH_PNG/24855046310379860_581316317.png,,,,2021.6.15 12:39,2021.7.20 15:20
5649771391,21-15,스마트스토어,Y,우드볼 친환경 티크 감성 원목 요거트볼 원형 간식 홈카페 샐러드 다이어트 간편 그릇 식기,N,-,판매중,전시중,389,8000,6400,20%,,6400,20%,,N,N,Y,,,,,1.00%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,3000,3000,6000,N,Y,-,생활/건강,주방용품,식기,볼,협력업체,땅꿀,,[핸드메이드]티크나무 우드 요거트 볼 원형 간식 아이들 홈카페 감성 샐러드 다이어트 간편,,N,N,N,,,,http://shop1.phinf.naver.net/20210615_170/1623724203866kB9fz_JPEG/24860046572974528_551993663.jpg,,,,2021.6.14 19:30,2021.7.20 15:20
